user_id,status,accessed_at,reviewed,reviewed_at,created_at,updated_at,referred_organization_id,direct_access,utilized_at
7501,1775,2020-02-06 23:12:33,1,2020-08-22 03:17:21,2020-06-14 16:22:33,2020-08-10 01:11:33,8468,1,2021-01-11 11:47:02
1850,3250,2020-01-09 10:25:33,0,,2021-01-01 21:17:05,2021-02-16 20:54:25,7691,0,2021-01-31 19:56:33
3757,8198,2020-11-20 17:06:43,0,,2019-12-16 22:00:13,2021-01-08 20:47:55,8145,0,2021-02-03 22:56:18
7662,7326,2020-01-27 03:27:03,1,2021-02-13 14:36:54,2021-02-08 18:04:33,2021-02-19 12:39:51,6449,0,2021-02-25 08:07:54
4911,2263,2020-02-12 22:28:15,0,,2019-10-13 12:52:48,2019-11-20 13:35:08,6075,0,2021-01-25 12:02:47
1662,9958,2020-06-29 01:33:34,0,,2019-10-17 09:35:12,2019-11-29 06:15:48,8622,1,2021-02-06 02:03:04
1157,1858,2020-12-24 22:27:02,1,2020-08-16 01:30:21,2020-07-27 21:57:21,2020-08-23 10:35:49,6288,0,2021-01-08 16:29:53
4863,8510,2020-04-20 12:26:35,1,2020-02-08 22:11:01,2019-10-19 04:27:19,2020-10-10 04:20:47,6365,1,2021-02-18 08:29:14
5954,1460,2020-11-15 19:17:38,0,,2020-02-29 13:48:34,2020-05-21 06:30:57,8868,0,2021-01-19 09:35:05
6565,6199,2020-01-22 21:35:00,1,2020-10-04 11:40:20,2019-07-20 16:15:32,2020-12-23 17:12:16,1952,1,2021-02-06 11:52:22
9056,5089,2020-03-31 00:57:12,0,,2019-08-08 07:34:59,2020-08-17 08:06:58,8107,0,2021-01-09 04:21:02
9582,6242,2020-10-24 15:59:54,0,,2019-09-12 23:08:29,2019-11-12 12:40:08,3615,1,2021-01-05 23:50:42
9808,2534,2020-06-10 14:50:53,1,2020-10-26 06:44:45,2019-03-13 16:44:29,2020-04-24 14:25:22,4201,0,2021-02-06 07:33:10
9869,2552,2020-06-15 01:57:15,1,2020-04-30 11:01:40,2020-02-15 19:23:33,2020-09-21 22:59:31,1866,1,2021-01-31 11:16:29
1621,3686,2020-11-02 06:18:37,1,2020-12-26 18:20:20,2020-12-21 14:19:10,2021-01-08 20:45:37,8986,0,2021-01-20 15:11:42
3749,5661,2020-02-13 08:05:53,1,2019-11-26 02:59:38,2019-01-13 01:15:45,2021-02-28 19:12:44,9058,1,2021-01-01 01:10:01
2058,1492,2020-12-16 04:04:13,0,,2019-03-27 04:23:44,2020-04-16 14:25:30,5425,0,2021-02-13 18:46:16
8662,9210,2020-09-12 09:00:30,1,2020-01-04 21:41:09,2019-10-25 01:32:02,2020-04-29 13:48:50,8013,0,2021-01-28 02:19:33
9003,5287,2020-10-27 12:43:57,1,2021-02-09 07:46:42,2021-01-16 14:11:34,2021-02-05 20:34:11,4211,1,2021-01-01 08:10:33
1657,3300,2020-12-24 17:33:48,0,,2020-10-18 01:53:06,2020-12-04 07:41:30,4077,0,2021-01-10 11:18:30
2888,5479,2020-05-23 04:03:50,1,2020-07-19 17:33:17,2020-04-30 08:22:40,2021-01-18 15:33:33,8112,1,2021-01-22 08:24:17
2565,4593,2020-12-27 19:35:34,0,,2019-09-10 12:51:52,2020-06-29 23:16:24,7159,0,2021-02-27 13:27:24
2318,3716,2020-06-24 23:25:21,1,2020-11-10 13:27:44,2020-04-06 17:33:42,2020-10-07 11:42:43,8163,1,2021-01-15 11:12:36
2160,7291,2020-05-20 05:42:14,0,,2019-08-14 11:54:31,2021-01-11 04:03:49,4188,0,2021-02-04 17:25:04
2257,6702,2020-08-19 19:00:55,0,,2019-10-10 05:49:25,2020-05-22 14:22:30,7810,0,2021-01-16 13:19:47
6621,8513,2020-07-09 10:55:31,1,2020-10-31 21:12:45,2020-03-14 05:02:10,2020-09-05 16:07:38,4153,1,2021-02-25 07:24:22
6546,2294,2020-06-28 18:13:15,0,,2020-02-14 03:32:21,2020-07-16 03:35:16,6049,1,2021-01-01 00:13:42
7010,5190,2020-07-02 13:01:55,1,2019-09-27 05:50:10,2019-04-01 14:45:31,2020-11-25 05:57:49,4198,0,2021-01-07 09:23:31
4965,8312,2020-12-26 03:43:18,0,,2020-03-31 04:11:16,2020-04-29 23:17:39,3214,1,2021-01-28 07:19:43
3068,9891,2020-08-30 18:50:45,1,2021-02-28 13:55:50,2019-09-07 11:45:48,2021-02-04 08:06:33,2991,0,2021-01-24 10:23:14
1322,8172,2020-05-15 08:57:34,0,,2020-03-24 13:42:44,2020-07-03 15:33:38,8749,0,2021-02-12 15:08:55
8366,6632,2020-05-17 02:44:46,1,2021-01-31 08:14:20,2020-02-05 14:49:28,2020-06-27 02:34:36,3184,1,2021-02-28 02:06:40
4856,3626,2020-08-10 22:10:23,0,,2020-10-17 04:59:00,2021-01-26 20:40:36,3464,1,2021-01-28 14:57:53
6431,2462,2020-05-22 11:05:52,0,,2019-01-16 21:03:14,2019-10-27 20:06:12,5275,1,2021-02-04 07:48:33
7672,6800,2020-10-11 20:12:55,0,,2021-02-15 10:05:59,2021-02-25 11:50:20,6837,1,2021-02-27 10:12:02
2511,8139,2020-10-04 19:08:24,1,2020-08-15 00:16:06,2020-07-28 03:17:36,2020-10-28 21:11:31,2132,0,2021-02-04 01:05:47
6488,4461,2020-04-23 23:48:36,1,2020-08-11 23:38:49,2020-04-26 15:10:21,2020-10-31 22:46:10,6046,0,2021-02-14 15:05:57
3823,4455,2020-07-30 15:27:31,0,,2019-06-09 06:40:11,2021-02-18 16:26:17,1215,1,2021-02-04 05:15:42
5427,5723,2020-04-13 01:32:55,1,2020-06-08 09:56:31,2019-04-10 03:17:49,2020-07-08 15:01:39,9915,0,2021-02-11 05:31:32
7120,1442,2020-08-27 11:33:02,0,,2019-03-07 15:43:28,2020-05-14 20:10:45,3023,0,2021-01-21 20:52:38
6341,4729,2020-12-11 05:16:59,0,,2021-02-04 22:21:59,2021-02-15 13:13:30,8219,1,2021-01-31 18:46:46
6722,4784,2020-11-03 01:25:04,1,2020-09-16 23:31:47,2020-04-01 14:46:52,2020-05-02 11:32:30,8273,1,2021-02-04 22:00:33
5633,3924,2020-04-25 00:51:36,0,,2019-11-15 18:23:02,2020-12-20 18:31:30,6240,0,2021-01-06 01:29:27
5779,9680,2020-01-09 07:16:36,1,2020-09-18 23:06:37,2020-07-01 07:37:35,2020-07-31 18:55:15,4513,0,2021-02-11 14:17:17
7285,7933,2020-03-07 05:55:59,0,,2019-01-01 03:18:52,2019-10-05 14:58:53,3767,0,2021-01-03 13:20:38
1798,9182,2020-07-03 13:27:03,1,2020-05-24 07:56:54,2020-03-10 09:33:21,2021-01-15 14:14:25,7223,1,2021-01-06 07:13:59
2530,2827,2020-10-16 21:34:34,0,,2019-03-05 18:44:44,2019-05-29 06:27:32,5261,1,2021-02-20 13:00:08
3803,2362,2020-05-25 01:00:28,0,,2020-06-27 16:26:59,2020-12-19 03:28:07,7252,0,2021-02-06 05:07:22
6015,3152,2020-02-24 02:16:04,0,,2020-12-20 05:20:05,2021-01-10 16:58:55,9962,0,2021-02-03 18:10:35
8110,6785,2020-02-05 08:09:05,1,2021-02-05 08:25:41,2020-09-25 18:10:26,2020-12-17 02:34:53,9261,0,2021-02-05 08:43:43
