id,client_id,name,website,description,created_at,updated_at,slug,searchable_by_organizations,is_searchable,region,lat,lng,last_verified_at,marked_deleted,deleter_id,is_closed
53509366883,30648376744,Williamson and Sons,holmes.com,Me economic away wait myself.,2019-03-30 12:21:05,2021-02-24 05:46:31,williamson_and_sons,Bit type which present network door. Say successful paper card physical line detail. Can public capital size.,0,Los Angeles,-10.3264955,66.917992,2020-10-30 04:24:48,1,79324847681,0
87808048208,23720705319,"Kim, Payne and Perry",hart.info,Myself them small hour. Hear wonder half must. Address wear him.,2020-01-02 09:57:45,2020-01-19 07:48:21,kim_payne_and_perry,Begin none want ago country member I. Major song yard herself.,0,Los Angeles,-50.741535,-18.369712,2020-06-15 05:23:27,0,70980189389,0
20680379154,67804167288,Lopez-Rogers,acosta.com,Prove activity important. Teacher necessary I certain several. Sell whether pattern experience shake opportunity style.,2020-04-19 10:38:13,2020-06-02 21:43:55,lopez-rogers,Ability onto approach he source third page. By several development their still. Watch sea democratic white last food. Summer technology again tax spend.,1,Los Angeles,-77.2669265,-129.696208,2020-06-29 12:51:07,0,49333060507,1
27389435792,87903542324,Thornton-Smith,gibbs-robbins.com,Tv school throughout size artist student fine by. Involve late throughout dream memory wait.,2020-07-25 08:43:23,2020-12-22 17:56:26,thornton-smith,Every project organization figure generation main them. Report together summer.,0,Los Angeles,0.1359865,-18.289426,2020-12-05 12:06:12,0,95090447179,0
80183172661,53057864141,"Green, Atkinson and Nguyen",mata.com,Type teacher simply civil. Write add street little budget.,2020-05-14 13:27:36,2020-10-04 03:19:21,green_atkinson_and_nguyen,Positive president stand value movie forward. Carry medical think. Car us realize ahead soldier crime opportunity.,1,Los Angeles,-19.8675125,-40.412112,2020-08-10 14:13:44,1,84233161192,0
69864804603,89603334370,"Sanders, Wheeler and Perez",blair.org,Win social home law present agree street.,2020-11-05 08:42:56,2019-08-10 18:07:28,sanders_wheeler_and_perez,Force fall computer operation world college radio. Face garden most example learn result.,0,Los Angeles,6.336914,179.904299,2020-10-15 20:19:34,0,45145159331,0
18681505743,79710529227,"Clark, Nicholson and Williams",garcia.info,Wife east watch mean player his reduce. Experience tonight little close.,2019-12-05 22:21:38,2020-07-10 09:15:23,clark_nicholson_and_williams,Want consider decide here. Water question spring listen deep during least.,0,Los Angeles,53.954461,-172.046807,2020-07-01 01:29:02,1,48205753552,1
72141624766,54102167891,Rios-Farrell,mata.com,Able movement improve second pretty job. Wonder letter significant little he you sit.,2020-07-20 22:43:07,2020-08-07 00:10:35,rios-farrell,Traditional among none news very red. Still some believe chair discover.,0,Los Angeles,-12.3245065,149.239864,2020-07-15 11:04:35,1,53621374076,1
38774447289,60128279137,Saunders-Orozco,morgan.net,Others stuff decision through value. Mouth join politics deal glass box animal. Design end bill work lawyer never either.,2020-11-22 12:20:49,2021-02-28 20:06:57,saunders-orozco,People debate agent argue protect. Month have level have write heart half. Act opportunity movie teach make life financial.,0,Los Angeles,-18.4090345,8.360665,2021-01-18 15:53:55,0,57629233409,1
42429106867,80530745979,Costa Group,anderson.biz,Forward she government sit fall talk rather city. Official rise move.,2019-05-18 16:06:50,2021-01-08 05:33:49,costa_group,Service allow story religious gas want run. Project network care around value. Traditional management information still foot.,0,Los Angeles,16.318928,-71.165250,2020-05-09 15:57:40,0,39355546138,1
